school,url,keyword
UW CSE PhD,https://www.cs.washington.edu/academics/phd/admissions/required-materials,GRE;TOEFL
Stanford CS PhD,https://cs.stanford.edu/admissions/phd/application-checklist,GRE;TOEFL
NYU CS PhD,https://cs.nyu.edu/home/phd/admission.html,GRE;TOEFL
Cornell CS PhD,https://www.cs.cornell.edu/phd/admissions,GRE;TOEFL
MIT CS PhD,https://www.eecs.mit.edu/academics/graduate-programs/admission-process/graduate-admissions-information-letter,GRE;TOEFL
MIT Media Lab PhD,https://www.media.mit.edu/graduate-program/apply,GRE;TOEFL
UCB EECS PhD,https://eecs.berkeley.edu/academics/graduate/faq,GRE;TOEFL
CMU LTI PhD,https://www.lti.cs.cmu.edu/apply-lti,GRE;TOEFL
CMU CS PhD,https://csd.cmu.edu/academics/doctoral/admissions,GRE;TOEFL
